virus,host,interaction
PG-2021_17,Staphylococcus_nepalensis,NoInf
PG-2021_17,Staphylococcus_pasteuri,NoInf
PG-2021_17,Staphylococcus_pettenkoferi,Inf
PG-2021_17,Staphylococcus_pseudintermedius,Inf
PG-2021_17,Staphylococcus_saprophyticus,NoInf
PG-2021_17,Staphylococcus_schleiferi,Inf
PG-2021_17,Staphylococcus_sciuri,Inf
PG-2021_17,Staphylococcus_succinus,Inf
PG-2021_17,Staphylococcus_vitulinus,Inf
PG-2021_17,Staphylococcus_warneri,NoInf
PG-2021_17,Staphylococcus_xylosus,Inf
PG-2021_18,Staphylococcus_arlettae,NoInf
PG-2021_18,Staphylococcus_aureus,Inf
PG-2021_18,Staphylococcus_auricularis,NoInf
PG-2021_18,Staphylococcus_capitis,Inf
PG-2021_18,Staphylococcus_caprae,NoInf
PG-2021_18,Staphylococcus_chromogenes,Inf
PG-2021_18,Staphylococcus_cohnii,NoInf
PG-2021_18,Staphylococcus_epidermidis,Inf
PG-2021_18,Staphylococcus_equorum,Inf
PG-2021_18,Staphylococcus_fleuretti,NoInf
PG-2021_18,Staphylococcus_haemolyticus,NoInf
PG-2021_18,Staphylococcus_hominis,NoInf
PG-2021_18,Staphylococcus_hyicus,NoInf
PG-2021_18,Staphylococcus_kloosii,NoInf
PG-2021_18,Staphylococcus_lentus,NoInf
PG-2021_18,Staphylococcus_lugdunensis,Inf
PG-2021_18,Staphylococcus_nepalensis,NoInf
PG-2021_18,Staphylococcus_pasteuri,NoInf
PG-2021_18,Staphylococcus_pettenkoferi,NoInf
PG-2021_18,Staphylococcus_pseudintermedius,NoInf
PG-2021_18,Staphylococcus_saprophyticus,NoInf
PG-2021_18,Staphylococcus_schleiferi,Inf
PG-2021_18,Staphylococcus_sciuri,NoInf
PG-2021_18,Staphylococcus_succinus,Inf
PG-2021_18,Staphylococcus_vitulinus,Inf
PG-2021_18,Staphylococcus_warneri,NoInf
PG-2021_18,Staphylococcus_xylosus,Inf
PG-2021_19,Staphylococcus_arlettae,NoInf
PG-2021_19,Staphylococcus_aureus,NoInf
PG-2021_19,Staphylococcus_auricularis,NoInf
PG-2021_19,Staphylococcus_capitis,Inf
PG-2021_19,Staphylococcus_caprae,NoInf
PG-2021_19,Staphylococcus_chromogenes,NoInf
PG-2021_19,Staphylococcus_cohnii,Inf
PG-2021_19,Staphylococcus_epidermidis,NoInf
PG-2021_19,Staphylococcus_equorum,NoInf
PG-2021_19,Staphylococcus_fleuretti,NoInf
PG-2021_19,Staphylococcus_haemolyticus,Inf
PG-2021_19,Staphylococcus_hominis,NoInf
PG-2021_19,Staphylococcus_hyicus,NoInf
PG-2021_19,Staphylococcus_kloosii,Inf
PG-2021_19,Staphylococcus_lentus,NoInf
PG-2021_19,Staphylococcus_lugdunensis,Inf
PG-2021_19,Staphylococcus_nepalensis,NoInf
PG-2021_19,Staphylococcus_pasteuri,NoInf
PG-2021_19,Staphylococcus_pettenkoferi,NoInf
PG-2021_19,Staphylococcus_pseudintermedius,NoInf
PG-2021_19,Staphylococcus_saprophyticus,NoInf
PG-2021_19,Staphylococcus_schleiferi,Inf
PG-2021_19,Staphylococcus_sciuri,NoInf
PG-2021_19,Staphylococcus_succinus,Inf
PG-2021_19,Staphylococcus_vitulinus,Inf
PG-2021_19,Staphylococcus_warneri,NoInf
PG-2021_19,Staphylococcus_xylosus,Inf
PG-2021_1,Staphylococcus_arlettae,NoInf
PG-2021_1,Staphylococcus_aureus,Inf
PG-2021_1,Staphylococcus_auricularis,NoInf
PG-2021_1,Staphylococcus_capitis,NoInf
PG-2021_1,Staphylococcus_caprae,NoInf
PG-2021_1,Staphylococcus_chromogenes,NoInf
PG-2021_1,Staphylococcus_cohnii,NoInf
PG-2021_1,Staphylococcus_epidermidis,Inf
PG-2021_1,Staphylococcus_equorum,NoInf
PG-2021_1,Staphylococcus_fleuretti,NoInf
PG-2021_1,Staphylococcus_haemolyticus,NoInf
PG-2021_1,Staphylococcus_hominis,NoInf
PG-2021_1,Staphylococcus_hyicus,NoInf
PG-2021_1,Staphylococcus_kloosii,NoInf
PG-2021_1,Staphylococcus_lentus,NoInf
PG-2021_1,Staphylococcus_lugdunensis,Inf
PG-2021_1,Staphylococcus_nepalensis,NoInf
PG-2021_1,Staphylococcus_pasteuri,NoInf
PG-2021_1,Staphylococcus_pettenkoferi,Inf
PG-2021_1,Staphylococcus_pseudintermedius,NoInf
PG-2021_1,Staphylococcus_saprophyticus,NoInf
PG-2021_1,Staphylococcus_schleiferi,Inf
PG-2021_1,Staphylococcus_sciuri,Inf
PG-2021_1,Staphylococcus_succinus,NoInf
PG-2021_1,Staphylococcus_vitulinus,NoInf
PG-2021_1,Staphylococcus_warneri,Inf
PG-2021_1,Staphylococcus_xylosus,NoInf
PG-2021_22,Staphylococcus_arlettae,NoInf
PG-2021_22,Staphylococcus_aureus,Inf
PG-2021_22,Staphylococcus_auricularis,NoInf
PG-2021_22,Staphylococcus_capitis,NoInf
PG-2021_22,Staphylococcus_caprae,NoInf
PG-2021_22,Staphylococcus_chromogenes,NoInf
PG-2021_22,Staphylococcus_cohnii,Inf
PG-2021_22,Staphylococcus_epidermidis,NoInf
PG-2021_22,Staphylococcus_equorum,NoInf
PG-2021_22,Staphylococcus_fleuretti,Inf
